Letter_ID,Sender_ID,Sender_Name,Recipient_ID,Recipient_Name,Date,Dispatch_Location,Dispatch_Location_Abbr,GeoName_ID,toponymName,Country,Latitude,Longitude,Recipient_Adress,Recipient_Location,Recipient_Location_Abbr,Recipient_Addr_Latitude,Recipient_Addr_Longitude,Mentioned_Person_ID,Mentioned_Persons,Mentioned_Org_ID,Mentioned_Org,Mentioned_Works_IDs,Mention_Works_Title,Text_ID,Mention_Works_Genre,Collective_Vesions_ID,Mentioned_Places,Mentioned_Places_Abbr
B18440520PL,peHI,HENRIK IBSEN,pePL,POUL LIEUNGH,1844-05-20,Grimstad,Gri,3155041,Grimstad,Norway,58.3405,8.59343,"Herr , P Lieungh, Skien",Skien,Ski,59.20962,9.60897,"peHeL, peJAR, peFLR, peJAAI, peJJos, peCSAa","HEDEVALL ORDING LIEUNGH lyng, JENS AARUP REIMANN, LOVISE REIMANN, JOHAN ANDREAS ALTENBURG IBSEN, JOSEFINE JOHNSEN, CARL SIGVARDTH AAMODT",,,,,,,,"Grimstad, Skiens","Gri, Ski"
B18441006HSte,peHI,HENRIK IBSEN,peHSte,HANNA STENERSEN,1844-10-06,Grimstad,Gri,3155041,Grimstad,Norway,58.3405,8.59343,"Jomfru H Stenersen, Porsgrund",Porsgrund,,59.14054,9.6561,"peJAR, peFLR","JENS AARUP REIMANN, LOVISE REIMANN",,,,,,,,,
B18450801AWE,peHI,HENRIK IBSEN,peAWE,MINA WAHL (G. ENG),1845-08-01,Grimstad,Gri,3155041,Grimstad,Norway,58.3405,8.59343,,,,,,,,,,,,,,,,
B18461207JCP,peHI,HENRIK IBSEN,peJCP,JOHAN CASPAR PREUS,1846-12-07,Grimstad,Gri,3155041,Grimstad,Norway,58.3405,8.59343,,,,,,"peESJB, peHJHB, peJAR, peKPI","ELSE SOPHIE JENSDATTER BIRKEDALEN, HANS JACOB HENDRICHSSEN (Henriksen) BIRKEDALEN, JENS AARUP REIMANN, KNUD PLESNER IBSEN",,,,,,,,"Grimstad, Skien","Gri, Ski"
B18491015OS,peHI,HENRIK IBSEN,peOS,OLE CARELIUS SCHULERUD,1849-10-15,Grimstad,Gri,3155041,Grimstad,Norway,58.3405,8.59343,"N, 1/, Til, Herr Stud: jur: O. Schulerud, Addr: Fru Budde, Kirkebakken, N, 5., Christiania",Christiania,Kri,55.67346,12.59765,peCLD,CHRISTOPHER LORENTZ DUE,,,woC1,Catilina,C1,drama,C,,
B18500105OS,peHI,HENRIK IBSEN,peOS,OLE CARELIUS SCHULERUD,1850-01-05,Grimstad,Gri,3155041,Grimstad,Norway,58.3405,8.59343,,,,,,"peCL, peKongChr7, peKongG3, peCE, peHJB, peTCr, peCLD, peLNi, pePSch","CHRISTIAN JENSEN LOFTHUS, CHRISTIAN 7., GUSTAV 3., CLARA (Marthe Clarine) EBBELL, HENNING JUNGHANS BIE, THOMAS CRAWFURD, CHRISTOPHER LORENTZ DUE, LARS NIELSEN, PETER SCHULERUD",,,"woC1, woBalm, woFpA","Catilina, «Balminder», «Fangen paa Agershuus»","C1, BlaDigtBalminder, P1850Fangen","drama, dikt, sakprosa",C,"Thelemarken, Lillesand, Kjøbenhavn, Christiania, Agershuus Fæstning","Tel, Lil, Kbh, Kri, Akfest"
B18500210OS,peHI,HENRIK IBSEN,peOS,OLE CARELIUS SCHULERUD,1850-02-10,Grimstad,Gri,3155041,Grimstad,Norway,58.3405,8.59343,"Til, Herr Stud: jur: O. Schulrud., Addr. Madame Sæther, Pipervigen, Christiania.",Christiania,Kri,55.67346,12.59765,"peAGOe, peCLD","ADAM GOTTLOB OEHLENSCHLÄGER, CHRISTOPHER LORENTZ DUE",,,,,,,,,
B18500412CM,peHI,HENRIK IBSEN,peCM,CATHRINE MARTINI,1850-04-12,Grimstad,Gri,3155041,Grimstad,Norway,58.3405,8.59343,,,,,,,,,,woDiMaane,Maaneskinsvandring efter et Bal,BlaDigtMaaneskinsvandEftBal,dikt,,,
B18500712KongO1,peHI,HENRIK IBSEN,peKongO1,KONG OSCAR 1.,1850-07-12,Kristiania,Kri,3143244,Oslo,Norway,59.91273,10.74609,,,,,,,,,,,,,,,"Grimstads, Christiania","Gri, Kri"
B18500728AkKoll,peHI,HENRIK IBSEN,orgAkKoll,DET AKADEMISKE KOLLEGIUM,1850-07-28,Kristiania,Kri,3143244,Oslo,Norway,59.91273,10.74609,,,,,,peHom,HOMER,,,,,,,,,
