XML_ID,Wikidata_ID,Viaf_ID,NHRP_ID,Given_Name,Surname,Name,Year_of_Birth,Year_of_Death,Lifespan,Instance,Gender,Country_of_citizenship,Occupation,Letters_Received,Times_Mentioned,Brief_Description,Spouses_Name,Spouses_ID
peHerrA,,,,,,A,,,,human,male,,,1,0,,,
peAb,Q179825,90053837,,,,’ABD AL-QADIR,1808,1883,1808-1883,"human, Commander/Prince",male,,Emir,0,1,emir i Algerie.,,
peAbd,Q151500,122114473,,,,ABDÜLAZIZ,1830,1876,1830-1876,"human, Sultan",male,Ottoman Empire,Sultan,0,2,osmansk sultan 1861-76 (Hourani 2002).,,
peCARA,Q65936324,,pq00000000001494,CHRISTIAN [AUGUST RUDOLPH],ABELSTED,CHRISTIAN [AUGUST RUDOLPH] ABELSTED,1833,1889,1833-1889,human,male,Norway,actor,0,5,norsk skuespiller.,,
peTAb,Q12005997,228867610,,THEODOR,ABILDGAARD,THEODOR ABILDGAARD,1826,1884,1826-1884,human,male,Norway,"foreman, university student",0,3,norsk student og arbeiderfører.,,
peCA,,,,[JENSINE MARIE FREDERIKKE] CECILIE,ABRAHAMS,[JENSINE MARIE FREDERIKKE] CECILIE ABRAHAMS,1848,1891,1848-1891,human,female,,married to,1,1,dansk filolog- og malerhustru.,"FRITZ ABRAHAMS, NIELS [ANDREAS] BREDAL","peFrAb, peNB"
peFrAb,,,,FRITZ,ABRAHAMS,FRITZ ABRAHAMS,1841,1881,1841-1881,human,male,Denmark,philologist,1,0,dansk filolog.,,
peJHSA,Q5541497,,,[JOHANNES HENRIK] SEVERIN,ABRAHAMS,[JOHANNES HENRIK] SEVERIN ABRAHAMS,1843,1900,1843-1900,human,male,Denmark,theatre director,1,5,dansk teaterdirektør.,,
peTA,Q63108449,62289287,,[CARL JULIUS] THEODOR,ACKERMANN,[CARL JULIUS] THEODOR ACKERMANN,1827,1911,1827-1911,human,male,Germany,"publisher, bookseller",2,11,tysk bokhandler og forlegger.,,
peLAd,Q18023252,97610053,,LEOPOLD,ADLER,LEOPOLD ADLER,1850,1919,1850-1919,human,male,Germany,"actor, poet, dramaturg",1,0,"tysk skuespiller, dikter, dramaturg.",,
peSA,Q4346827,47621912,,[KARIN] SOPHIE,ADLERSPARRE,[KARIN] SOPHIE ADLERSPARRE,1823,1895,1823-1895,human,female,Sweden,"author, suffragette",2,2,svensk kvinnesaksforkjemper og forfatterinne.,,
peBA,Q457801,752905,,BERNHARD,AFINGER,BERNHARD AFINGER,1813,1882,1813-1882,human,male,Germany,sculptor,0,1,tysk billedhugger.,,
peHEPCA,Q45917603,286838326,,[HENRIETTE ELISABETH] PAULINE [CHRISTINA],AHLBERG,[HENRIETTE ELISABETH] PAULINE [CHRISTINA] AHLBERG,1851,1896,1851-1896,human,female,Sweden,author,0,1,svensk forfatterinne.,[JOHAN] JULIUS [FERDINAND] KRONBERG,peJKr
peAKar,Q317578,16244181,,,ALEXANDER KARADJORDJEVIĆ (KARAGEORGEVIĆ),ALEXANDER KARADJORDJEVIĆ (KARAGEORGEVIĆ),1806,1885,1806-1885,"human, Prince",male,,Prince,0,1,fyrste av Serbia 1842-58.,,
peAlex,Q152260,268757034,,,,ALEXANDRA,1844,1925,1844-1925,"human, Queen, Princess",female,,"Princess, Queen",0,1,prinsesse av Wales (fra 1901 dronning av England).,"EDVARD, PRINS AV WALES",noID
peBeAlm,Q4898802,6779148390846010830001,,BETTY (Hedvig Christina Elisabeth),ALMLÖF,BETTY (Hedvig Christina Elisabeth) ALMLÖF,1831,1882,1831-1882,human,female,Sweden,actor,0,1,svensk skuespillerinne.,,
peJLA,,,,JOHAN LUDVIG,ALSING,JOHAN LUDVIG ALSING,1812,1902,1812-1902,human,male,Norway,"lawyer, civil servant",0,2,norsk jurist og embetsmann.,,
peOAl,Q27189569,56971750,,OLGA,ALTIERI,OLGA ALTIERI,1843,1929,1843-1929,"human, Princess",female,"Italy, Russia","author, Princess",0,1,"russisk-italiensk prinsesse, forfatterinne.",,
peAmm,Q172198,89594750,,,,AMMIANUS MARCELLINUS,0330,0395,0330-0395,human,male,,,0,3,"romersk historieskriver, født i Antiokia.",,
