XML-ID,Wikidata_ID,Viaf ID,NHRP ID,Given Name,Surname,Name,Year of Birth,Year of Death,Lifespan,Country of co=itizenship,Occupation,Instance,Gender,Brief Description
peHerrA,,,,,,A,,,,,,human,,
peAb,Q179825,90053837,,,,’ABD AL-QADIR,1808,1883,1808-1883,Algeria,scientist,human,male,emir i Algerie.
peAbd,Q151500,122114473,,,,ABDÜLAZIZ,1830,1876,1830-1876,Ottoman Empire,composer,human,male,osmansk sultan 1861-76 (Hourani 2002).
peCARA,Q65936324,,pq00000000001494,CHRISTIAN [AUGUST RUDOLPH],ABELSTED,CHRISTIAN [AUGUST RUDOLPH] ABELSTED,1833,1889,1833-1889,Norway,actor,human,male,norsk skuespiller.
peTAb,Q12005997,228867610,,THEODOR,ABILDGAARD,THEODOR ABILDGAARD,1826,1884,1826-1884,Norway,editor,human,male,norsk student og arbeiderfører.
peCA,,,,[JENSINE MARIE FREDERIKKE] CECILIE,ABRAHAMS,[JENSINE MARIE FREDERIKKE] CECILIE ABRAHAMS,1848,1891,1848-1891,,,human,,dansk filolog- og malerhustru.
peFrAb,,,,FRITZ,ABRAHAMS,FRITZ ABRAHAMS,1841,1881,1841-1881,,,human,,dansk filolog.
peJHSA,Q5541497,,,[JOHANNES HENRIK] SEVERIN,ABRAHAMS,[JOHANNES HENRIK] SEVERIN ABRAHAMS,1843,1900,1843-1900,Denmark,actor,human,male,dansk teaterdirektør.
peTA,Q63108449,62289287,,[CARL JULIUS] THEODOR,ACKERMANN,[CARL JULIUS] THEODOR ACKERMANN,1827,1911,1827-1911,,publisher,human,male,tysk bokhandler og forlegger.
peLAd,Q18023252,97610053,,LEOPOLD,ADLER,LEOPOLD ADLER,1850,1919,1850-1919,Austria,writer,human,male,"tysk skuespiller, dikter, dramaturg."
peSA,Q4346827,47621912,,[KARIN] SOPHIE,ADLERSPARRE,[KARIN] SOPHIE ADLERSPARRE,1823,1895,1823-1895,Sweden,newspaper editor,human,female,svensk kvinnesaksforkjemper og forfatterinne.
peBA,Q457801,752905,,BERNHARD,AFINGER,BERNHARD AFINGER,1813,1882,1813-1882,Germany,sculptor,human,male,tysk billedhugger.
peHEPCA,Q45917603,286838326,,[HENRIETTE ELISABETH] PAULINE [CHRISTINA],AHLBERG,[HENRIETTE ELISABETH] PAULINE [CHRISTINA] AHLBERG,1851,1896,1851-1896,Sweden,writer,human,female,svensk forfatterinne.
peAKar,Q317578,16244181,,,ALEXANDER KARADJORDJEVIĆ (KARAGEORGEVIĆ),ALEXANDER KARADJORDJEVIĆ (KARAGEORGEVIĆ),1806,1885,1806-1885,Serbia,sovereign,human,male,fyrste av Serbia 1842-58.
peAlex,Q152260,268757034,,,,ALEXANDRA,1844,1925,1844-1925,Denmark,photographer,human,female,prinsesse av Wales (fra 1901 dronning av England).
peBeAlm,Q4898802,6779148390846010830001,,BETTY (Hedvig Christina Elisabeth),ALMLÖF,BETTY (Hedvig Christina Elisabeth) ALMLÖF,1831,1882,1831-1882,Sweden,actor,human,female,svensk skuespillerinne.
peJLA,,,,JOHAN LUDVIG,ALSING,JOHAN LUDVIG ALSING,1812,1902,1812-1902,,,human,,norsk jurist og embetsmann.
peOAl,Q27189569,56971750,,OLGA,ALTIERI,OLGA ALTIERI,1843,1929,1843-1929,France,princess,human,female,"russisk-italiensk prinsesse, forfatterinne."
peAmm,Q172198,89594750,,,,AMMIANUS MARCELLINUS,0330,0395,0330-0395,Ancient Rome,writer,human,male,"romersk historieskriver, født i Antiokia."
peMA,Q468252,67333216,,MICHAEL [PETER],ANCHER,MICHAEL [PETER] ANCHER,1849,1927,1849-1927,Denmark,painter,human,male,dansk maler.
peAFA,,,,ANNE FREDRIKKE,ANDERSEN,ANNE FREDRIKKE ANDERSEN,1828,1895,1828-1895,,,human,,"norsk ingeniørhustru, mor til Hildur Andersen. "
peAAn,Q5553174,167082457,,AXEL,ANDERSEN,AXEL ANDERSEN,1846,1913,1846-1913,,,human,male,"norsk filolog, pedagog og dogmehistorisk forfatter."
peCCTA,Q15873738,47597627,,CARL [CHRISTIAN THORVALD],ANDERSEN,CARL [CHRISTIAN THORVALD] ANDERSEN,1828,1883,1828-1883,,writer,human,male,dansk forfatter.
peHCA,Q5673,4925902,,HANS CHRISTIAN,ANDERSEN,HANS CHRISTIAN ANDERSEN,1805,1875,1805-1875,Denmark,writer,human,male,dansk forfatter.
peHA,Q11975364,220149066602865601964,pf01036392084110,HILDUR,ANDERSEN,HILDUR ANDERSEN,1864,1956,1864-1956,Norway,pianist,human,female,norsk pianistinne og musikkpedagog.
peMatA,,,,MATHILDE,ANDERSEN,MATHILDE ANDERSEN,,,,,,human,,ikke identifisert.
peOMA,,17162721026861090800,,OLUF MARTIN,ANDERSEN,OLUF MARTIN ANDERSEN,1826,1908,1826-1908,,,human,,norsk stadsingeniør og brannsjef.
peTAn,Q5553363,69678408,,THEODOR [VILHELM JACOB],ANDERSEN,THEODOR [VILHELM JACOB] ANDERSEN,1835,1909,1835-1909,Denmark,actor,human,male,dansk skuespiller og teaterdirektør.
peVA,,,,VALBORG,ANDERSEN,VALBORG ANDERSEN,1857,1937,1857-1937,,,human,,norsk lærerinne.
peRBA,Q3436547,22924736,,RASMUS BJØRN,ANDERSON,RASMUS BJØRN ANDERSON,1846,1936,1846-1936,United States of America,diplomat,human,male,norsk-amerikansk forfatter.
peJAn,Q16023190,,,JUSTUS [HENRIK],ANDERSSEN,JUSTUS [HENRIK] ANDERSSEN,1867,1938,1867-1938,Norway,physician,human,male,norsk lege.
peLAS,Q38873,39372916,,LOU,ANDREAS-SALOMÉ,LOU ANDREAS-SALOMÉ,1861,1937,1861-1937,German Reich,writer,human,female,tysk forfatterinne.
peJPA,Q62604189,,,JENS PETER,ANDRESEN,JENS PETER ANDRESEN,1818,1871,1818-1871,,lawyer,human,male,norsk advokat.
peCJA,Q5557366,230251299,pf01037988000198,CARL JOHAN,ANKER,CARL JOHAN ANKER,1835,1903,1835-1903,Norway,writer,human,male,norsk offiser.
peAnAn,Q17352679,45051237,,ANTON,ANNO,ANTON ANNO,1838,1893,1838-1893,Germany,writer,human,male,tysk skuespiller.
peAA,Q529001,2532045,,ANDRÉ,ANTOINE,ANDRÉ ANTOINE,1858,1943,1858-1943,France,actor,human,male,"fransk skuespiller, teaterdirektør, kritiker og filmregissør."
pePA,Q95757498,165145542658096642024,,PAUL,APFELSTEDT,PAUL APFELSTEDT,,,,,writer,human,male,tysk autografsamler.
peAEAr,Q33113944,,pf01036392045344,ANNA ELIZA,ARBO,ANNA ELIZA ARBO,1854,1921,1854-1921,Norway,painter,human,female,norsk malerhustru.
pePNA,Q353014,30936931,pf01052721045917,PETER NICOLAI,ARBO,PETER NICOLAI ARBO,1831,1892,1831-1892,Norway,painter,human,male,norsk maler.
peFrAr,,222299029,,FRANCES [ELIZABETH],ARCHER,FRANCES [ELIZABETH] ARCHER,1855,1929,1855-1929,,,human,,britisk kritikerhustru.
peWA,Q1382278,2509112,,WILLIAM,ARCHER,WILLIAM ARCHER,1856,1924,1856-1924,United Kingdom of Great Britain and Ireland,writer,human,male,britisk teaterkritiker og journalist.
peSArc,Q1777383,226121847,pf01036392093920,SOFUS [ANTON BIRGER],ARCTANDER,SOFUS [ANTON BIRGER] ARCTANDER,1845,1924,1845-1924,Norway,politician,human,male,norsk politiker og embetsmann.
peArius,Q106026,12404999,,,,ARIUS,0250,0336,0250-0336,Ancient Rome,ascetic,human,male,aleksandrinsk presbyter (prest).
peRA,Q94660459,69855191,,RICHARD ACLAND,ARMSTRONG,RICHARD ACLAND ARMSTRONG,1843,1905,1843-1905,,author,human,male,engelsk unitarprest.
peWAA,Q694665,,,[WILLIBALD] ARNO VON,ARNDT,[WILLIBALD] ARNO VON ARNDT,1835,1902,1835-1902,Germany,military personnel,human,male,tysk offiser.
peKLAr,Q90179,27411763,,KARL LUDWIG (ARNDTS VON ARNESBERG),ARNDTS,KARL LUDWIG (ARNDTS VON ARNESBERG) ARNDTS,1803,1878,1803-1878,Germany,politician,human,male,tysk rettslærd.
peAAr,Q5560073,,,AUGUST [FREDRIK],ARPPE,AUGUST [FREDRIK] ARPPE,1854,1925,1854-1925,Finland,actor,human,male,finsk skuespiller og teaterdirektør.
peAArs,Q16168148,161623600,,AKSEL [KRISTIAN ANDERSEN],ARSTAL,AKSEL [KRISTIAN ANDERSEN] ARSTAL,1855,1940,1855-1940,Norway,geographer,human,male,norsk geograf og skolemann.
