Letter_ID,Sender_ID,Sender_Name,Recipient_ID,Recipient_Name,Date,Dispatch_Location,Dispatch_Location_Abbr,Mentioned_Person_ID,Mentioned_Person,Mentioned_Org_ID,Mentioned_Org,Mentioned_Places_Abbr,Mentioned_Places,Recipient_Adress,Mentioned_Works_IDs
B18710626JHT,peHI,HENRIK IBSEN,peJHT,JOHAN HERMAN THORESEN,1871-06-26,DRESDEN,Dre,"'peAVo, peTK, peDFa, peCF, peFH'",,orgKT,,"'Kri, Mal, Kbh, Ste, Sle, Dre, N'","'Kristiania, Malmø, København, Stettin, Slesvig, byen, Norge'",,"'woKG, woBr, woF1'"
B18710712FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1871-07-12,DRESDEN,Dre,"'peRK, peHGu, peALCL, peJAWN, peDFS, peJLi, peJH'",,,,"'Kbh, It, Dre, Dk'","'København, Italien, Dresden, Danmark'",,"'woBr, woDi, woKG'"
B18710803JHT,peHI,HENRIK IBSEN,peJHT,JOHAN HERMAN THORESEN,1871-08-03,DRESDEN,Dre,"'peJLo, peFH, peMTh'",,,,Dk,Danmark,,woDi
B18710830KongK4,peHI,HENRIK IBSEN,peKongK4,KONG KARL 15.,1871-08-03,DRESDEN,Dre,,,orgKdep,,"'Eg, Suez'","'Egypten, Suez-kanalens'",,
B18710917HJJ,peHI,HENRIK IBSEN,peHJJ,HANS JAKOB JENSEN,1871-09-17,DRESDEN,Dre,peJHT,,"'orgIN, orgGyl'",,,,,"'woF1, woHH'"
B18710924GB,peHI,HENRIK IBSEN,peGB,GEORG BRANDES,1871-09-24,DRESDEN,Dre,"'peNap3, peFGK'",,,,"'Bou, Dre'","'Boulogne, Dresden'",,"'woBr, woKG'"
B18710926FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1871-09-26,DRESDEN,Dre,"'peAnM, peHJJ, peCSAB, peVB, peJHT, peJH'",,orgKT,,Dre,staden,,"'woBr, woKG, orgIN, woHH, woF1'"
B18710928DaBog,peHI,HENRIK IBSEN,orgDaBog,SAMTLIGE DANSKE BOGHANDLERE,1871-09-28,DRESDEN,Dre,peHJJ,,"'orgIN, orgGyl'",,"'Kri, Dk'","'Kristiania, Danmark'",,"'woF1, woHH'"
B18710929FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1871-09-29,DRESDEN,Dre,"'peHJJ, peCSAB, peTEBH, peJHT'",,orgIN,,Kri,Kristiania,,
B18711010MB,peHI,HENRIK IBSEN,peMB,MICHAEL BIRKELAND,1871-10-10,DRESDEN,Dre,"'peHJJ, peJHT, peJdB, peBB, pePBH, peLDa, peMBi'",,"'orgIN, orgCPo, orgAftb'",,"'N, SE, Dk'","'mit fædreland, Sverig, Danmark'",,"'woKK, woDi, woBall, woF1, woKG, woF1, woHH'"
B18711028MB,peHI,HENRIK IBSEN,peMB,MICHAEL BIRKELAND,1871-10-28,DRESDEN,Dre,"'peHJJ, peFH, peJHT, peJEb, peSiI'",,orgGyl,,"'N, Dk, SE'","'Norge, Danmark, Sverig'",,"'woF1, woHH, woKK, woKE'"
Budat18711028OAB,peHI,HENRIK IBSEN,peOAB,OLE ANDREAS BACHKE,1871-10-28,DRESDEN,Dre,,,,,,,,
Budat18711201AI,peHI,HENRIK IBSEN,peAI,ANDREAS HORNBECK ISACHSEN,1871-12-01,DRESDEN,Dre,peHJJ,,orgGyl,,,,,woF1
B18711227FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1871-12-27,DRESDEN,Dre,"'peCDu, peBB, peADo, peGFr, peCC, peGB, peJH'",,,,"'N, Lei, Kri, Kbh, Rom'","'Norge, Leipzig, Kristiania, Kbhvns, Rom'",,"'woKG, woKE'"
B18720108FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1872-01-08,DRESDEN,Dre,peJH,,,,Kri,Kristiania,,
