Number,Letter_ID,Sender_ID,Sender_Name,Recipient_ID,Recipient_Name,Date,Dispatch_Location,Dispatch_Location_Abbr,Mentioned_Person_ID,Mentioned_Person,Mentioned_Org_ID,Mentioned_Org,Mentioned_Places_Abbr,Mentioned_Places,Recipient_Adress,Mentioned_Works_IDs
0,B18440520PL,peHI,HENRIK IBSEN,pePL,POUL LIEUNGH,1844-05-20,GRIMSTAD,Gri,"'peHeL, peJAR, peFLR, peJAAI, peJJos, peCSAa'",,,,"'Gri, Ski'","'Grimstad, Skiens'","'Herr ,  P Lieungh, Skien'",
1,B18441006HSte,peHI,HENRIK IBSEN,peHSte,HANNA STENERSEN,1844-10-06,GRIMSTAD,Gri,"'peJAR, peFLR'",,,,,,"'Jomfru H Stenersen, Porsgrund'",
2,B18450801AWE,peHI,HENRIK IBSEN,peAWE,MINA WAHL (G. ENG),1845-08-01,GRIMSTAD,Gri,,,,,,,,
3,B18461207JCP,peHI,HENRIK IBSEN,peJCP,JOHAN CASPAR PREUS,1846-12-07,GRIMSTAD,Gri,"'peESJB, peHJHB, peJAR, peKPI'",,,,"'Gri, Ski'","'Grimstad, Skien'",,
4,B18491015OS,peHI,HENRIK IBSEN,peOS,OLE CARELIUS SCHULERUD,1849-10-15,GRIMSTAD,Gri,peCLD,,,,,,"'N,  1/, Til, Herr Stud: jur: O. Schulerud, Addr: Fru Budde, Kirkebakken, N,  5., Christiania'",woC1
5,B18500105OS,peHI,HENRIK IBSEN,peOS,OLE CARELIUS SCHULERUD,1850-01-05,GRIMSTAD,Gri,"'peCL, peKongChr7, peKongG3, peCE, peHJB, peTCr, peCLD, peLNi, pePSch'",,,,"'Tel, Lil, Kbh, Kri, Akfest'","'Thelemarken, Lillesand, Kjøbenhavn, Christiania, Agershuus Fæstning'",,"'woC1, woBalm, woFpA'"
6,B18500210OS,peHI,HENRIK IBSEN,peOS,OLE CARELIUS SCHULERUD,1850-02-10,GRIMSTAD,Gri,"'peAGOe, peCLD'",,,,,,"'Til, Herr Stud: jur: O. Schulrud., Addr. Madame Sæther, Pipervigen, Christiania.'",
7,B18500412CM,peHI,HENRIK IBSEN,peCM,CATHRINE MARTINI,1850-04-12,GRIMSTAD,Gri,,,,,,,,woDiMaane
8,B18500712KongO1,peHI,HENRIK IBSEN,peKongO1,KONG OSCAR 1.,1850-07-12,KRISTIANIA,Kri,,,,,"'Gri, Kri'","'Grimstads, Christiania'",,
9,B18500728AkKoll,peHI,HENRIK IBSEN,orgAkKoll,DET AKADEMISKE KOLLEGIUM,1850-07-28,KRISTIANIA,Kri,peHom,,,,,,,
