XML-ID,Wikidata ID,Given Name,Surname,Name,Year of Birth,Year of Death,Lifespan,Brief Description
peHerrA,Q577,,,A,,,,
peAb,Q307365,,,’ABD AL-QADIR,1808,1883,1808-1883,emir i Algerie.
peAbd,Q151500,,,ABDÜLAZIZ,1830,1876,1830-1876,osmansk sultan 1861-76 (Hourani 2002).
peCARA,Q65936324,CHRISTIAN [AUGUST RUDOLPH],ABELSTED,CHRISTIAN [AUGUST RUDOLPH] ABELSTED,1833,1889,1833-1889,norsk skuespiller.
peTAb,Q12005997,THEODOR,ABILDGAARD,THEODOR ABILDGAARD,1826,1884,1826-1884,norsk student og arbeiderfører.
peCA,,[JENSINE MARIE FREDERIKKE] CECILIE,ABRAHAMS,[JENSINE MARIE FREDERIKKE] CECILIE ABRAHAMS,1848,1891,1848-1891,dansk filolog- og malerhustru.
peFrAb,,FRITZ,ABRAHAMS,FRITZ ABRAHAMS,1841,1881,1841-1881,dansk filolog.
peJHSA,Q5541497,[JOHANNES HENRIK] SEVERIN,ABRAHAMS,[JOHANNES HENRIK] SEVERIN ABRAHAMS,1843,1900,1843-1900,dansk teaterdirektør.
peTA,,[CARL JULIUS] THEODOR,ACKERMANN,[CARL JULIUS] THEODOR ACKERMANN,1827,1911,1827-1911,tysk bokhandler og forlegger.
peLAd,Q12032971,LEOPOLD,ADLER,LEOPOLD ADLER,1850,1919,1850-1919,"tysk skuespiller, dikter, dramaturg."
peSA,Q4346827,[KARIN] SOPHIE,ADLERSPARRE,[KARIN] SOPHIE ADLERSPARRE,1823,1895,1823-1895,svensk kvinnesaksforkjemper og forfatterinne.
peBA,Q457801,BERNHARD,AFINGER,BERNHARD AFINGER,1813,1882,1813-1882,tysk billedhugger.
peHEPCA,,[HENRIETTE ELISABETH] PAULINE [CHRISTINA],AHLBERG,[HENRIETTE ELISABETH] PAULINE [CHRISTINA] AHLBERG,1851,1896,1851-1896,svensk forfatterinne.
peAKar,,,ALEXANDER KARADJORDJEVIĆ (KARAGEORGEVIĆ),ALEXANDER KARADJORDJEVIĆ (KARAGEORGEVIĆ),1806,1885,1806-1885,fyrste av Serbia 1842-58.
peAlex,Q6081128,,,ALEXANDRA,1844,1925,1844-1925,prinsesse av Wales (fra 1901 dronning av England).
peBeAlm,,BETTY (Hedvig Christina Elisabeth),ALMLÖF,BETTY (Hedvig Christina Elisabeth) ALMLÖF,1831,1882,1831-1882,svensk skuespillerinne.
peJLA,,JOHAN LUDVIG,ALSING,JOHAN LUDVIG ALSING,1812,1902,1812-1902,norsk jurist og embetsmann.
peOAl,,OLGA,ALTIERI,OLGA ALTIERI,1843,1929,1843-1929,"russisk-italiensk prinsesse, forfatterinne."
peAmm,Q172198,,,AMMIANUS MARCELLINUS,0330,0395,0330-0395,"romersk historieskriver, født i Antiokia."
peMA,Q468252,MICHAEL [PETER],ANCHER,MICHAEL [PETER] ANCHER,1849,1927,1849-1927,dansk maler.
peAFA,,ANNE FREDRIKKE,ANDERSEN,ANNE FREDRIKKE ANDERSEN,1828,1895,1828-1895,"norsk ingeniørhustru, mor til Hildur Andersen. "
peAAn,Q1809088,AXEL,ANDERSEN,AXEL ANDERSEN,1846,1913,1846-1913,"norsk filolog, pedagog og dogmehistorisk forfatter."
peCCTA,Q12339304,CARL [CHRISTIAN THORVALD],ANDERSEN,CARL [CHRISTIAN THORVALD] ANDERSEN,1828,1883,1828-1883,dansk forfatter.
peHCA,Q5673,HANS CHRISTIAN,ANDERSEN,HANS CHRISTIAN ANDERSEN,1805,1875,1805-1875,dansk forfatter.
peHA,Q11975364,HILDUR,ANDERSEN,HILDUR ANDERSEN,1864,1956,1864-1956,norsk pianistinne og musikkpedagog.
peMatA,Q18756028,MATHILDE,ANDERSEN,MATHILDE ANDERSEN,,,,ikke identifisert.
